gene_symbol	ensembl_id	chrom	tss	strand	biotype	start	end
TBPL2	ENSG00000182521	chr14	55456726	-	protein_coding	55414210	55456726
OTX2	ENSG00000165588	chr14	56816693	-	protein_coding	56799905	56816693
SIX6	ENSG00000184302	chr14	60509146	+	protein_coding	60509146	60512850
SIX1	ENSG00000126778	chr14	60658259	-	protein_coding	60643421	60658259
SIX4	ENSG00000100625	chr14	60724351	-	protein_coding	60709539	60724351
HIF1A	ENSG00000100644	chr14	61695456	+	protein_coding	61695456	61748263
ESR2	ENSG00000140009	chr14	64338112	-	protein_coding	64084232	64338112
ZBTB1	ENSG00000126804	chr14	64502152	+	protein_coding	64502152	64533690
ZBTB25	ENSG00000089775	chr14	64505232	-	protein_coding	64449106	64505232
MAX	ENSG00000125952	chr14	65102695	-	protein_coding	65006174	65102695
DPF3	ENSG00000205683	chr14	72894101	-	protein_coding	72609034	72894101
ZNF410	ENSG00000119725	chr14	73886201	+	protein_coding	73886201	73932521
VSX2	ENSG00000119614	chr14	74239449	+	protein_coding	74239449	74262738
PROX2	ENSG00000119608	chr14	74876154	-	protein_coding	74852871	74876154
FOS	ENSG00000170345	chr14	75278826	+	protein_coding	75278826	75283190
JDP2	ENSG00000140044	chr14	75427716	+	protein_coding	75427716	75474111
BATF	ENSG00000156127	chr14	75522455	+	protein_coding	75522455	75546993
ESRRB	ENSG00000119715	chr14	76310712	+	protein_coding	76310712	76501837
FOXN3	ENSG00000053254	chr14	89619271	-	protein_coding	89124871	89619271
GSC	ENSG00000133937	chr14	94770113	-	protein_coding	94768223	94770113
BCL11B	ENSG00000127152	chr14	99272197	-	protein_coding	99169287	99272197
YY1	ENSG00000100811	chr14	100238298	+	protein_coding	100238298	100282788
ZBTB42	ENSG00000179627	chr14	104799415	+	protein_coding	104799415	104804712
KLF13	ENSG00000169926	chr15	31326706	+	protein_coding	31326706	31435665
ZNF770	ENSG00000198146	chr15	34989479	-	protein_coding	34978341	34989479
NANOGP8	ENSG00000255192	chr15	35085295	-	protein_coding	35083410	35085295
MEIS2	ENSG00000134138	chr15	37101307	-	protein_coding	36889204	37101307
MGA	ENSG00000174197	chr15	41621134	+	protein_coding	41621134	41773081
ZSCAN29	ENSG00000140265	chr15	43371048	-	protein_coding	43357920	43371048
ONECUT1	ENSG00000169856	chr15	52791078	-	protein_coding	52755053	52791078
RFX7	ENSG00000181827	chr15	56245103	-	protein_coding	56087280	56245103
ZNF280D	ENSG00000137871	chr15	56734086	-	protein_coding	56630176	56734086
TCF12	ENSG00000140262	chr15	56918099	+	protein_coding	56918099	57299707
FOXB1	ENSG00000171956	chr15	60004234	+	protein_coding	60004234	60061730
RORA	ENSG00000069667	chr15	61229302	-	protein_coding	60488284	61229302
ZNF609	ENSG00000180357	chr15	64460578	+	protein_coding	64460578	64686068
SNAPC5	ENSG00000174446	chr15	66497780	-	protein_coding	66490135	66497780
SMAD3	ENSG00000166949	chr15	67063763	+	protein_coding	67063763	67195173
SKOR1	ENSG00000188779	chr15	67819704	+	protein_coding	67819704	67834582
THAP10	ENSG00000129028	chr15	70892433	-	protein_coding	70881342	70892433
NR2E3	ENSG00000278570	chr15	71792638	+	protein_coding	71792638	71818259
ARID3B	ENSG00000179361	chr15	74541188	+	protein_coding	74541188	74598131
ISL2	ENSG00000159556	chr15	76336773	+	protein_coding	76336773	76342475
HMG20A	ENSG00000140382	chr15	77419830	+	protein_coding	77419830	77485955
ARNT2	ENSG00000172379	chr15	80404315	+	protein_coding	80404315	80597937
CPEB1	ENSG00000214575	chr15	82648861	-	protein_coding	82543201	82648861
BNC1	ENSG00000169594	chr15	83284664	-	protein_coding	83255884	83284664
ZSCAN2	ENSG00000176371	chr15	84600986	+	protein_coding	84600986	84627796
ZNF592	ENSG00000166716	chr15	84748362	+	protein_coding	84748362	84806445
MESP1	ENSG00000166823	chr15	89751249	-	protein_coding	89749875	89751249
MESP2	ENSG00000188095	chr15	89760591	+	protein_coding	89760591	89778754
ZNF710	ENSG00000140548	chr15	89999180	+	protein_coding	89999180	90082206
ZNF774	ENSG00000196391	chr15	90352284	+	protein_coding	90352284	90369146
NR2F2	ENSG00000185551	chr15	96325797	+	protein_coding	96325797	96340263
MEF2A	ENSG00000068305	chr15	99565404	+	protein_coding	99565404	99716488
SOX8	ENSG00000005513	chr16	981444	+	protein_coding	981444	986979
ZNF598	ENSG00000167962	chr16	2009821	-	protein_coding	1997654	2009821
E4F1	ENSG00000167967	chr16	2223440	+	protein_coding	2223440	2235743
FLYWCH1	ENSG00000059122	chr16	2911599	+	protein_coding	2911599	2951208
ZSCAN10	ENSG00000130182	chr16	3099295	-	protein_coding	3088890	3099295
ZNF205	ENSG00000122386	chr16	3112550	+	protein_coding	3112550	3120527
ZNF213	ENSG00000085644	chr16	3129777	+	protein_coding	3129777	3142804
ZNF200	ENSG00000010539	chr16	3236221	-	protein_coding	3222324	3236221
ZNF263	ENSG00000006194	chr16	3263800	+	protein_coding	3263800	3301401
ZNF75A	ENSG00000162086	chr16	3305406	+	protein_coding	3305406	3318852
TIGD7	ENSG00000140993	chr16	3305729	-	protein_coding	3298390	3305729
ZSCAN32	ENSG00000140987	chr16	3401065	-	protein_coding	3382081	3401065
ZNF174	ENSG00000103343	chr16	3401215	+	protein_coding	3401215	3409364
ZNF597	ENSG00000167981	chr16	3443504	-	protein_coding	3432414	3443504
TFAP4	ENSG00000090447	chr16	4273075	-	protein_coding	4257186	4273075
GLIS2	ENSG00000126603	chr16	4314761	+	protein_coding	4314761	4339597
ZNF500	ENSG00000103199	chr16	4767624	-	protein_coding	4748239	4767624
GLYR1	ENSG00000140632	chr16	4847343	-	protein_coding	4803202	4847343
ZKSCAN2	ENSG00000155592	chr16	25257845	-	protein_coding	25236001	25257845
MAZ	ENSG00000103495	chr16	29806106	+	protein_coding	29806106	29811164
TBX6	ENSG00000149922	chr16	30091933	-	protein_coding	30085793	30091933
ZNF48	ENSG00000180035	chr16	30378106	+	protein_coding	30378106	30400108
ZNF771	ENSG00000179965	chr16	30407143	+	protein_coding	30407143	30431108
ZNF768	ENSG00000169957	chr16	30526821	-	protein_coding	30524004	30526821
ZNF747	ENSG00000169955	chr16	30535347	-	protein_coding	30530367	30535347
ZNF764	ENSG00000169951	chr16	30558374	-	protein_coding	30553764	30558374
ZNF688	ENSG00000229809	chr16	30572734	-	protein_coding	30569281	30572734
ZNF785	ENSG00000197162	chr16	30585806	-	protein_coding	30573740	30585806
ZNF689	ENSG00000156853	chr16	30624012	-	protein_coding	30602558	30624012
SRCAP	ENSG00000080603	chr16	30698166	+	protein_coding	30698166	30741409
ZNF629	ENSG00000102870	chr16	30787205	-	protein_coding	30778456	30787205
FBXL19	ENSG00000099364	chr16	30923055	+	protein_coding	30923055	30948783
ZNF668	ENSG00000167394	chr16	31074240	-	protein_coding	31060842	31074240
ZNF646	ENSG00000167395	chr16	31074403	+	protein_coding	31074403	31084196
ZNF843	ENSG00000176723	chr16	31444323	-	protein_coding	31432593	31444323
ZNF267	ENSG00000185947	chr16	31873788	+	protein_coding	31873788	31917357
ZNF423	ENSG00000102935	chr16	49857919	-	protein_coding	49487524	49857919
SALL1	ENSG00000103449	chr16	51152683	-	protein_coding	51135982	51152683
IRX3	ENSG00000177508	chr16	54286787	-	protein_coding	54283304	54286787
IRX5	ENSG00000176842	chr16	54930865	+	protein_coding	54930865	54934485
IRX6	ENSG00000159387	chr16	55323974	+	protein_coding	55323974	55330757
ZNF319	ENSG00000166188	chr16	58000672	-	protein_coding	57994673	58000672
TERB1	ENSG00000249961	chr16	66801620	-	protein_coding	66754640	66801620
HSF4	ENSG00000102878	chr16	67164681	+	protein_coding	67164681	67169945
E2F4	ENSG00000205250	chr16	67192155	+	protein_coding	67192155	67198918
CTCF	ENSG00000102974	chr16	67561831	+	protein_coding	67561831	67639189
THAP11	ENSG00000168286	chr16	67842320	+	protein_coding	67842320	67844195
CENPT	ENSG00000102901	chr16	67847811	-	protein_coding	67828157	67847811
NFATC3	ENSG00000072736	chr16	68084751	+	protein_coding	68084751	68229259
ZFP90	ENSG00000184939	chr16	68530090	+	protein_coding	68530090	68576072
TERF2	ENSG00000132604	chr16	69408571	-	protein_coding	69355464	69408571
NFAT5	ENSG00000102908	chr16	69565094	+	protein_coding	69565094	69704666
ZNF23	ENSG00000167377	chr16	71463095	-	protein_coding	71447597	71463095
ZNF19	ENSG00000157429	chr16	71565502	-	protein_coding	71464555	71565502
ZNF821	ENSG00000102984	chr16	71895336	-	protein_coding	71859680	71895336
ZFHX3	ENSG00000140836	chr16	73891871	-	protein_coding	72782885	73891871
ZFP1	ENSG00000184517	chr16	75148494	+	protein_coding	75148494	75172236
MAF	ENSG00000178573	chr16	79600737	-	protein_coding	79585843	79600737
ATMIN	ENSG00000166454	chr16	81035842	+	protein_coding	81035842	81047350
IRF8	ENSG00000140968	chr16	85899116	+	protein_coding	85899116	85922606
FOXF1	ENSG00000103241	chr16	86510527	+	protein_coding	86510527	86515422
FOXC2	ENSG00000176692	chr16	86566829	+	protein_coding	86566829	86569728
FOXL1	ENSG00000176678	chr16	86576340	+	protein_coding	86576340	86583478
ZNF469	ENSG00000225614	chr16	88382959	+	protein_coding	88382959	88440757
ZFPM1	ENSG00000179588	chr16	88453280	+	protein_coding	88453280	88537031
SNAI3	ENSG00000185669	chr16	88686507	-	protein_coding	88677688	88686507
ZNF778	ENSG00000170100	chr16	89217692	+	protein_coding	89217692	89237141
ZNF276	ENSG00000158805	chr16	89720400	+	protein_coding	89720400	89740925
BHLHA9	ENSG00000205899	chr17	1270444	+	protein_coding	1270444	1271815
HIC1	ENSG00000177374	chr17	2054154	+	protein_coding	2054154	2063241
SGSM2	ENSG00000141258	chr17	2337492	+	protein_coding	2337492	2381058
MNT	ENSG00000070444	chr17	2401142	-	protein_coding	2384073	2401142
CAMTA2	ENSG00000108509	chr17	4987684	-	protein_coding	4967992	4987684
ZFP3	ENSG00000180787	chr17	5078467	+	protein_coding	5078467	5096376
ZNF232	ENSG00000167840	chr17	5123162	-	protein_coding	5105269	5123162
ZNF594	ENSG00000180626	chr17	5191868	-	protein_coding	5179535	5191868
BCL6B	ENSG00000161940	chr17	7023050	+	protein_coding	7023050	7030290
YBX2	ENSG00000006047	chr17	7294639	-	protein_coding	7288263	7294639
ZBTB4	ENSG00000174282	chr17	7484263	-	protein_coding	7459366	7484263
SOX15	ENSG00000129194	chr17	7590094	-	protein_coding	7588178	7590094
TP53	ENSG00000141510	chr17	7687546	-	protein_coding	7661779	7687546
HES7	ENSG00000179111	chr17	8124106	-	protein_coding	8120592	8124106
ZNF18	ENSG00000154957	chr17	11997475	-	protein_coding	11977439	11997475
ZNF286A	ENSG00000187607	chr17	15699577	+	protein_coding	15699577	15720787
ZNF287	ENSG00000141040	chr17	16569218	-	protein_coding	16546954	16569218
ZNF624	ENSG00000197566	chr17	16653856	-	protein_coding	16620734	16653856
SREBF1	ENSG00000072310	chr17	17837030	-	protein_coding	17810399	17837030
ZNF286B	ENSG00000249459	chr17	18681846	-	transcribed_unprocessed_pseudogene	18661937	18681846
SEBOX	ENSG00000274529	chr17	28365199	-	protein_coding	28363506	28365199
FOXN1	ENSG00000109101	chr17	28506243	+	protein_coding	28506243	28538900
ZNF207	ENSG00000010244	chr17	32350122	+	protein_coding	32350122	32381885
ZNF830	ENSG00000198783	chr17	34961540	+	protein_coding	34961540	34963777
LHX1	ENSG00000273706	chr17	36936784	+	protein_coding	36936784	36944612
HNF1B	ENSG00000275410	chr17	37745091	-	protein_coding	37686431	37745091
PCGF2	ENSG00000277258	chr17	38752555	-	protein_coding	38733894	38752555
NEUROD2	ENSG00000171532	chr17	39609777	-	protein_coding	39603536	39609777
IKZF3	ENSG00000161405	chr17	39864312	-	protein_coding	39757715	39864312
THRA	ENSG00000126351	chr17	40058290	+	protein_coding	40058290	40093867
NR1D1	ENSG00000126368	chr17	40100589	-	protein_coding	40092793	40100589
RARA	ENSG00000131759	chr17	40309180	+	protein_coding	40309180	40357643
ZNF385C	ENSG00000187595	chr17	42098479	-	protein_coding	42025576	42098479
STAT5A	ENSG00000126561	chr17	42287547	+	protein_coding	42287547	42311943
STAT5B	ENSG00000173757	chr17	42288633	-	protein_coding	42199176	42288633
STAT3	ENSG00000168610	chr17	42388568	-	protein_coding	42313324	42388568
MLX	ENSG00000108788	chr17	42567072	+	protein_coding	42567072	42573239
ETV4	ENSG00000175832	chr17	43579620	-	protein_coding	43527842	43579620
MEOX1	ENSG00000005102	chr17	43661922	-	protein_coding	43640389	43661922
TBX21	ENSG00000073861	chr17	47733236	+	protein_coding	47733236	47746126
SP6	ENSG00000189120	chr17	47855874	-	protein_coding	47844908	47855874
SP2	ENSG00000167182	chr17	47896150	+	protein_coding	47896150	47928957
NFE2L1	ENSG00000082641	chr17	48047889	+	protein_coding	48047889	48061545
HOXB1	ENSG00000120094	chr17	48531011	-	protein_coding	48528526	48531011
HOXB2	ENSG00000173917	chr17	48545109	-	protein_coding	48540894	48545109
HOXB4	ENSG00000182742	chr17	48578350	-	protein_coding	48575507	48578350
HOXB5	ENSG00000120075	chr17	48593779	-	protein_coding	48591257	48593779
HOXB3	ENSG00000120093	chr17	48604912	-	protein_coding	48548870	48604912
HOXB6	ENSG00000108511	chr17	48604992	-	protein_coding	48595525	48604992
HOXB8	ENSG00000120068	chr17	48618003	-	protein_coding	48611377	48618003
HOXB9	ENSG00000170689	chr17	48626358	-	protein_coding	48621156	48626358
HOXB7	ENSG00000260027	chr17	48633572	-	protein_coding	48607232	48633572
HOXB13	ENSG00000159184	chr17	48728750	-	protein_coding	48724763	48728750
ZNF652	ENSG00000198740	chr17	49362473	-	protein_coding	49289206	49362473
KAT7	ENSG00000136504	chr17	49788624	+	protein_coding	49788624	49835026
DLX4	ENSG00000108813	chr17	49968588	+	protein_coding	49968588	49974959
DLX3	ENSG00000064195	chr17	49995224	-	protein_coding	49990005	49995224
NME2	ENSG00000243678	chr17	51163013	+	protein_coding	51163013	51171749
HLF	ENSG00000108924	chr17	55264960	+	protein_coding	55264960	55325187
VEZF1	ENSG00000136451	chr17	57988389	-	protein_coding	57971547	57988389
HSF5	ENSG00000176160	chr17	58488408	-	protein_coding	58420167	58488408
TBX2	ENSG00000121068	chr17	61399630	+	protein_coding	61399630	61409466
TBX4	ENSG00000121075	chr17	61451906	+	protein_coding	61451906	61485110
BPTF	ENSG00000171634	chr17	67825503	+	protein_coding	67825503	67984378
SOX9	ENSG00000125398	chr17	72121020	+	protein_coding	72121020	72126416
FOXJ1	ENSG00000129654	chr17	76141245	-	protein_coding	76136333	76141245
CBX2	ENSG00000173894	chr17	79778148	+	protein_coding	79778148	79787983
MAFG	ENSG00000197063	chr17	81927735	-	protein_coding	81918270	81927735
CENPX	ENSG00000169689	chr17	82024107	-	protein_coding	82018590	82024107
FOXK2	ENSG00000141568	chr17	82519689	+	protein_coding	82519689	82644662
ZNF750	ENSG00000141579	chr17	82840022	-	protein_coding	82829434	82840022
TGIF1	ENSG00000177426	chr18	3411608	+	protein_coding	3411608	3459978
ZBTB14	ENSG00000198081	chr18	5297053	-	protein_coding	5288863	5297053
L3MBTL4	ENSG00000154655	chr18	6415477	-	protein_coding	5952760	6415477
ZNF519	ENSG00000175322	chr18	14132490	-	protein_coding	14057457	14132490
GATA6	ENSG00000141448	chr18	22168837	+	protein_coding	22168837	22204154
ZNF521	ENSG00000198795	chr18	25352194	-	protein_coding	25061924	25352194
ZNF397	ENSG00000186812	chr18	35240508	+	protein_coding	35240508	35267133
ZSCAN30	ENSG00000186814	chr18	35290245	-	protein_coding	35251058	35290245
ZNF24	ENSG00000172466	chr18	35345502	-	protein_coding	35332227	35345502
ZNF396	ENSG00000186496	chr18	35381746	-	protein_coding	35366694	35381746
SETBP1	ENSG00000152217	chr18	44680173	+	protein_coding	44680173	45068510
SKOR2	ENSG00000215474	chr18	47251660	-	protein_coding	47206169	47251660
ZBTB7C	ENSG00000184828	chr18	48410752	-	protein_coding	48026672	48410752
MBD1	ENSG00000141644	chr18	50281846	-	protein_coding	50266746	50281846
CXXC1	ENSG00000154832	chr18	50287857	-	protein_coding	50282331	50287857
SMAD4	ENSG00000141646	chr18	51028528	+	protein_coding	51028528	51085045
MBD2	ENSG00000134046	chr18	54224669	-	protein_coding	54151606	54224669
TCF4	ENSG00000196628	chr18	55664787	-	protein_coding	55222185	55664787
ONECUT2	ENSG00000119547	chr18	57435374	+	protein_coding	57435374	57491298
ZNF532	ENSG00000074657	chr18	58862600	+	protein_coding	58862600	58986480
RAX	ENSG00000134438	chr18	59274086	-	protein_coding	59267035	59274086
ZNF407	ENSG00000215421	chr18	74597848	+	protein_coding	74597848	75065671
TSHZ1	ENSG00000179981	chr18	75210755	+	protein_coding	75210755	75289950
ZNF516	ENSG00000101493	chr18	76496132	-	protein_coding	76357682	76496132
ZNF236	ENSG00000130856	chr18	76822557	+	protein_coding	76822557	76972901
SALL3	ENSG00000256463	chr18	78979818	+	protein_coding	78979818	79002677
NFATC1	ENSG00000131196	chr18	79395856	+	protein_coding	79395856	79529325
ADNP2	ENSG00000101544	chr18	80109262	+	protein_coding	80109262	80147523
ARID3A	ENSG00000116017	chr19	924528	+	protein_coding	924528	975939
MBD3	ENSG00000071655	chr19	1592869	-	protein_coding	1573596	1592869
TCF3	ENSG00000071564	chr19	1652911	-	protein_coding	1609291	1652911
ONECUT3	ENSG00000205922	chr19	1753506	+	protein_coding	1753506	1780988
KLF16	ENSG00000129911	chr19	1863579	-	protein_coding	1852399	1863579
DOT1L	ENSG00000104885	chr19	2163933	+	protein_coding	2163933	2232578
ZNF554	ENSG00000172006	chr19	2819868	+	protein_coding	2819868	2836735
ZNF555	ENSG00000186300	chr19	2841437	+	protein_coding	2841437	2860471
ZNF556	ENSG00000172000	chr19	2867335	+	protein_coding	2867335	2883445
ZNF57	ENSG00000171970	chr19	2900914	+	protein_coding	2900914	2919102
ZNF77	ENSG00000175691	chr19	2944971	-	protein_coding	2933218	2944971
NFIC	ENSG00000141905	chr19	3314403	+	protein_coding	3314403	3469217
HMG20B	ENSG00000064961	chr19	3572741	+	protein_coding	3572741	3579088
RAX2	ENSG00000173976	chr19	3772228	-	protein_coding	3769089	3772228
ZBTB7A	ENSG00000178951	chr19	4067636	-	protein_coding	4043303	4067636
CREB3L3	ENSG00000060566	chr19	4153621	+	protein_coding	4153621	4173057
SAFB	ENSG00000160633	chr19	5623035	+	protein_coding	5623035	5668478
SAFB2	ENSG00000130254	chr19	5624046	-	protein_coding	5586981	5624046
RFX2	ENSG00000087903	chr19	6199572	-	protein_coding	5993164	6199572
ZNF557	ENSG00000130544	chr19	7069701	+	protein_coding	7069701	7087968
ZNF358	ENSG00000198816	chr19	7515292	+	protein_coding	7515292	7521027
SNAPC2	ENSG00000104976	chr19	7920320	+	protein_coding	7920320	7923250
ZNF414	ENSG00000133250	chr19	8514167	-	protein_coding	8509678	8514167
ZNF558	ENSG00000167785	chr19	8832314	-	protein_coding	8806170	8832314
ZNF317	ENSG00000130803	chr19	9140380	+	protein_coding	9140380	9163424
ZNF699	ENSG00000196110	chr19	9309838	-	protein_coding	9291140	9309838
ZNF559	ENSG00000188321	chr19	9323717	+	protein_coding	9323717	9351162
ZNF177	ENSG00000188629	chr19	9363013	+	protein_coding	9363013	9382617
ZNF266	ENSG00000174652	chr19	9435601	-	protein_coding	9412424	9435601
ZNF560	ENSG00000198028	chr19	9498616	-	protein_coding	9466355	9498616
ZNF426	ENSG00000130818	chr19	9538826	-	protein_coding	9523223	9538826
ZNF121	ENSG00000197961	chr19	9584504	-	protein_coding	9560329	9584504
ZNF561	ENSG00000171469	chr19	9622601	-	protein_coding	9604680	9622601
ZNF562	ENSG00000171466	chr19	9675100	-	protein_coding	9641807	9675100
ZNF846	ENSG00000196605	chr19	9793180	-	protein_coding	9751993	9793180
PIN1	ENSG00000127445	chr19	9835257	+	protein_coding	9835257	9849690
DNMT1	ENSG00000130816	chr19	10231286	-	protein_coding	10133342	10231286
ZGLP1	ENSG00000220201	chr19	10309880	-	protein_coding	10304803	10309880
ZNF653	ENSG00000161914	chr19	11505839	-	protein_coding	11483427	11505839
ZNF627	ENSG00000198551	chr19	11559374	+	protein_coding	11559374	11619161
ZNF823	ENSG00000197933	chr19	11739009	-	protein_coding	11721264	11739009
ZNF441	ENSG00000197044	chr19	11767000	+	protein_coding	11767000	11784078
ZNF491	ENSG00000177599	chr19	11797642	+	protein_coding	11797642	11809622
ZNF440	ENSG00000171295	chr19	11814273	+	protein_coding	11814273	11835216
ZNF439	ENSG00000171291	chr19	11848726	+	protein_coding	11848726	11883750
ZNF69	ENSG00000198429	chr19	11887782	+	protein_coding	11887782	11914329
ZNF700	ENSG00000196757	chr19	11925068	+	protein_coding	11925068	11950773
ZNF763	ENSG00000197054	chr19	11965037	+	protein_coding	11965037	11980617
ZNF433	ENSG00000197647	chr19	12035741	-	protein_coding	12014715	12035741
ZNF878	ENSG00000257446	chr19	12052972	-	protein_coding	12040992	12052972
ZNF844	ENSG00000223547	chr19	12064731	+	protein_coding	12064731	12081565
ZNF20	ENSG00000132010	chr19	12140355	-	protein_coding	12092843	12140355
ZNF625	ENSG00000257591	chr19	12156734	-	protein_coding	12142090	12156734
ZNF136	ENSG00000196646	chr19	12163064	+	protein_coding	12163064	12189871
ZNF44	ENSG00000197857	chr19	12294883	-	protein_coding	12224686	12294883
ZNF563	ENSG00000188868	chr19	12333720	-	protein_coding	12317477	12333720
ZNF442	ENSG00000198342	chr19	12365905	-	protein_coding	12345944	12365905
ZNF799	ENSG00000196466	chr19	12401271	-	protein_coding	12390016	12401271
ZNF443	ENSG00000180855	chr19	12441021	-	protein_coding	12429706	12441021
ZNF709	ENSG00000242852	chr19	12513854	-	protein_coding	12461184	12513854
ZNF564	ENSG00000249709	chr19	12551542	-	protein_coding	12525373	12551542
ZNF791	ENSG00000173875	chr19	12610918	+	protein_coding	12610918	12633840
ZNF490	ENSG00000188033	chr19	12640098	-	protein_coding	12576100	12640098
JUNB	ENSG00000171223	chr19	12791486	+	protein_coding	12791486	12793315
KLF1	ENSG00000105610	chr19	12887201	-	protein_coding	12884422	12887201
NFIX	ENSG00000008441	chr19	12995475	+	protein_coding	12995475	13098796
LYL1	ENSG00000104903	chr19	13103161	-	protein_coding	13099033	13103161
CC2D1A	ENSG00000132024	chr19	13906160	+	protein_coding	13906160	13930884
RFX1	ENSG00000132005	chr19	14007084	-	protein_coding	13961529	14007084
ZNF333	ENSG00000160961	chr19	14689801	+	protein_coding	14689801	14733746
AKAP8	ENSG00000105127	chr19	15379829	-	protein_coding	15353385	15379829
AKAP8L	ENSG00000011243	chr19	15419141	-	protein_coding	15380050	15419141
WIZ	ENSG00000011451	chr19	15449975	-	protein_coding	15419978	15449975
KLF2	ENSG00000127528	chr19	16324826	+	protein_coding	16324826	16328685
NR2F6	ENSG00000160113	chr19	17245919	-	protein_coding	17231883	17245919
JUND	ENSG00000130522	chr19	18281622	-	protein_coding	18279694	18281622
MEF2B	ENSG00000213999	chr19	19192131	-	protein_coding	19145567	19192131
BORCS8-MEF2B	ENSG00000064489	chr19	19192158	-	protein_coding	19145569	19192158
GATAD2A	ENSG00000167491	chr19	19385638	+	protein_coding	19385638	19508932
PBX4	ENSG00000105717	chr19	19618732	-	protein_coding	19561707	19618732
ZNF101	ENSG00000181896	chr19	19668796	+	protein_coding	19668796	19683509
ZNF14	ENSG00000105708	chr19	19733112	-	protein_coding	19710472	19733112
ZNF506	ENSG00000081665	chr19	19821751	-	protein_coding	19761038	19821751
ZNF253	ENSG00000256771	chr19	19865881	+	protein_coding	19865881	19894674
ZNF93	ENSG00000184635	chr19	19900913	+	protein_coding	19900913	19963464
ZNF682	ENSG00000197124	chr19	20039505	-	protein_coding	19997058	20039505
ZNF90	ENSG00000213988	chr19	20077994	+	protein_coding	20077994	20127076
ZNF486	ENSG00000256229	chr19	20167214	+	protein_coding	20167214	20200488
ZNF737	ENSG00000237440	chr19	20565809	-	protein_coding	20535825	20565809
ZNF626	ENSG00000188171	chr19	20661596	-	protein_coding	20619939	20661596
ZNF66	ENSG00000160229	chr19	20776304	+	protein_coding	20776304	20810361
ZNF85	ENSG00000105750	chr19	20923222	+	protein_coding	20923222	20950697
ZNF430	ENSG00000118620	chr19	21020614	+	protein_coding	21020614	21060050
ZNF714	ENSG00000160352	chr19	21077069	+	protein_coding	21077069	21125270
ZNF431	ENSG00000196705	chr19	21142005	+	protein_coding	21142005	21196053
ZNF708	ENSG00000182141	chr19	21329425	-	protein_coding	21284033	21329425
ZNF493	ENSG00000196268	chr19	21397119	+	protein_coding	21397119	21427577
ZNF429	ENSG00000197013	chr19	21496682	+	protein_coding	21496682	21556270
ZNF100	ENSG00000197020	chr19	21767598	-	protein_coding	21722771	21767598
ZNF43	ENSG00000198521	chr19	21852125	-	protein_coding	21804946	21852125
ZNF208	ENSG00000160321	chr19	22010949	-	protein_coding	21932958	22010949
ZNF257	ENSG00000197134	chr19	22052430	+	protein_coding	22052430	22091480
ZNF676	ENSG00000196109	chr19	22215801	-	protein_coding	22178486	22215801
ZNF729	ENSG00000196350	chr19	22286441	+	protein_coding	22286441	22317176
ZNF98	ENSG00000197360	chr19	22532485	-	protein_coding	22391019	22532485
ZNF492	ENSG00000229676	chr19	22634324	+	protein_coding	22634324	22667671
ZNF99	ENSG00000213973	chr19	22784151	-	protein_coding	22752183	22784151
ZNF728	ENSG00000269067	chr19	23003176	-	protein_coding	22974883	23003176
ZNF730	ENSG00000183850	chr19	23075210	+	protein_coding	23075210	23147221
ZNF724	ENSG00000196081	chr19	23250394	-	protein_coding	23221599	23250394
ZNF91	ENSG00000167232	chr19	23395501	-	protein_coding	23304991	23395501
ZNF675	ENSG00000197372	chr19	23687220	-	protein_coding	23525631	23687220
ZNF681	ENSG00000196172	chr19	23758891	-	protein_coding	23739195	23758891
ZNF726	ENSG00000213967	chr19	23914876	+	protein_coding	23914876	23945159
ZNF254	ENSG00000213096	chr19	24033405	+	protein_coding	24033405	24129968
ZNF536	ENSG00000198597	chr19	30224891	+	protein_coding	30224891	30713586
TSHZ3	ENSG00000121297	chr19	31349436	-	protein_coding	31149979	31349436
ZNF507	ENSG00000168813	chr19	32345594	+	protein_coding	32345594	32387667
CEBPA	ENSG00000245848	chr19	33302534	-	protein_coding	33299934	33302534
CEBPG	ENSG00000153879	chr19	33373685	+	protein_coding	33373685	33382686
ZNF302	ENSG00000089335	chr19	34677084	+	protein_coding	34677084	34687065
ZNF181	ENSG00000197841	chr19	34734155	+	protein_coding	34734155	34745386
ZNF599	ENSG00000153896	chr19	34773229	-	protein_coding	34758073	34773229
ZNF30	ENSG00000168661	chr19	34926887	+	protein_coding	34926887	34945172
ZNF792	ENSG00000180884	chr19	34964284	-	protein_coding	34956354	34964284
USF2	ENSG00000105698	chr19	35268962	+	protein_coding	35268962	35279821
ETV2	ENSG00000105672	chr19	35641745	+	protein_coding	35641745	35644871
ZBTB32	ENSG00000011590	chr19	35704558	+	protein_coding	35704558	35717048
KMT2B	ENSG00000272333	chr19	35717973	+	protein_coding	35717973	35738880
THAP8	ENSG00000161277	chr19	36054739	-	protein_coding	36034984	36054739
OVOL3	ENSG00000105261	chr19	36111116	+	protein_coding	36111116	36113711
ZNF146	ENSG00000167635	chr19	36214602	+	protein_coding	36214602	36238774
ZNF565	ENSG00000196357	chr19	36246257	-	protein_coding	36181542	36246257
ZFP14	ENSG00000142065	chr19	36379201	-	protein_coding	36334453	36379201
ZFP82	ENSG00000181007	chr19	36418667	-	protein_coding	36383120	36418667
ZNF566	ENSG00000186017	chr19	36489902	-	protein_coding	36445119	36489902
ZNF260	ENSG00000254004	chr19	36528696	-	protein_coding	36510687	36528696
